,Title,Company,Location,Salary,Details
169,Senior Python developer,Indium Software,"Bengaluru, Karnataka",,"Python Application Engineer who has hands-on coding skills in python and passionate about tinkering with new tools/frameworks in Artificial Intelligence/Machine learning space Must be able to identify bottleneck(s) and optimize current code Proficient in Python, with a good knowledge of its ecosystems Strong understanding of object-oriented design and programming principles Demonstrated knowledge of various design and architectural patterns, exposure to UML is desirable Ability to write clean, readable Python code and skilled at writing reusable Python libraries Knowledge of concurrency patterns in Python Experience with any web server like Apache is an added advantage Strong analytic capability and ablility to ramp up quickly on new technologies Familiarity with concepts of MVC and RESTful services Exposure to fundamental design principles behind a scalable application is mandatory"
170,Machine Learning Architect,ALSTOM,"Bengaluru, Karnataka",,"Design and develop data-driven analysis, models and classification strategy for importing of text document, requirements, structured and non-structured data. Design models and pipeline for pre - processing of data and automatic classification based on Machine Learning /Artificial Intelligence models Choose and apply appropriate models using Natural Language Processing (NLP), machine learning, Deep Learning, pattern recognition to abstract information from complex system and subsystem inputs and requirements Identify, analyze and interpret trends and patterns in complex data to provide answers to Operational/service questions Present data and analysis in a clear and concise manner to allowing audience to quickly understand results and recommendations to make data-driven decisions Identify valuable data sources and automate collection processes Work collaboratively with engineering and product development teams and cross-functional partners develop, execute, and maintain analytic Be Innovative and demonstrate to peers and implement in creation of code libraries, reusable codes, and model-based developments Demonstrate excellent communication skills and able to guide, influence and convince others in a matrix organization. Team Player. Proven experience as developer in AI/ML/NLP Experience in data mining, Text Mining, working and creating data architectures Knowledge of Ontology is an asset Experience in using business intelligence tools (e.g. Tableau) /data frameworks (e.g. Hadoop) Analytical mind and business acumen Strong mathematics skills (e.g. statistics, algebra, probability) Experience in cloud services e.g. PaaS and SaaS, Rest API, serverless functions Understanding of Compute Engines, VM, Containers is nice to have Problem-solving aptitude 5-11 years of proven experience in developing and implementing common NLP frameworks and languages including NLTK, Spacy, Stanford NLP, BERT, TFIDF, Wordnet Knowledge of Topic Modelling, Sentiment analysis, Summarization, Semantic analysis, Entity identification, OCR and Word Embedding Vectors and other machine learning / deep learning capabilities using unstructured text datasets. Experience with implementation/deployment of NLP pipeline Understanding of formal naming and definition of the categories, properties and relations between the concepts, data and entities and how they are related, by defining a set of concepts and categories that represent the subject. Understanding and experience with leading supervised and unsupervised machine learning methods such as Regression, Neural Networks, Deep Learning, KNN, Naive Bayes, SVM, Decision Trees, Random Forest, Gradient Boosting, Ensemble methods, text mining, Must have strong development experience in Python and NLP, ML packages Experience in C#, JavaScript or Java is additional advantage IT Skills: MS office tools (Word, Excel, PowerPoint) Proficient in English language Good written and Verbal communication skills"
171,Data Scientist,Zycus,"Bengaluru, Karnataka",,
172,Sr Analyst - Regulatory Reporting,Société Générale,"Bengaluru, Karnataka",,
173,Senior Software Engineer,Zycus,"Bengaluru, Karnataka",,
174,Specialist Senior Engineer - Java,Société Générale,"Bengaluru, Karnataka",,"Understand user expectations and develop, deliver product based on defined user stories. Encourage best practices and apply them in the team - responsible for development product quality. Understand Agile practices (daily scrum, iteration planning, retrospective, test driven, model storming) and follow the same. Set priority on work product as per the agreed iteration goals. Work effectively with other team members by sharing best practices. Proven Ability to learn and work on latest technology, have good analytical skills and pickup faster. Should have excellent communication, interpersonal skills and be a team player. Should have been engaged on one project for at least 10 months. Experience working in an onsite-offshore model would be an advantage Require 4+ yrs experience on Java, AngularJS, Bootstrap. Deep expertise and hands on experience in Core java. Hands-on experience with at least 3 years in Spring and Spring Boot technologies. Hands-on experience with at least 3 years in GUI development using AngularJS, JSP, HTML & JavaScript. Hands-on experience with at least 2 years in REST webservice. Should have exposure to Oracle SQL. Any other DB apart from Oracle is also fine, provided the fundamentals of RDBMS are clear. Good to have experience in writing Sqls, stored procedures and functions. Experience in creating & executing unit tests using test driven approach with JUnit or any other equivalent. Added advantage if worked on any of these technologies like Swing, JSF, XML/XSLT, Struts etc. Would be great if worked on Agile or Continuous Delivery (CD) based projects before. Good to have exposure to Investment banking domain."
175,Sr Front End Developer - Remote,"Agiloft, Inc","Bengaluru, Karnataka","₹2,238 an hour","Agiloft was named the market leader in every category in the Gartner Critical Capabilities for CLM report, and a market leader in the Gartner Magic Quadrant. Contract Lifecycle Management (CLM) is one of the fastest growing areas of enterprise sales, with a TAM projected to climb from $2B to $7B in the next 5 years.  The Agiloft Contract and Commerce Lifecycle Platform has won over a dozen awards, including the Editor's Choice award from PC Mag, for the past five years in a row.  Agiloft has a highly differentiated value proposition which is uniquely appealing to enterprises: pre-built applications with a deeply configurable, no-code platform for integrated Business Process Management throughout an organization.   Agiloft is pioneering the applied use of Artificial Intelligence to enable next-generation business commerce at organizations ranging from small enterprises to U.S. government agencies and Fortune 100 companies.  Agiloft is the only company in the industry with the confidence to provide an unconditional satisfaction guarantee, and you too will be successful with Agiloft.  Design, build, and maintain efficient, reusable, and reliable front-end code. Build cross-browser solutions optimized for a wide range of devices. Identify UI problems and bugs and devise elegant solutions. Make strategic technical decisions related to new products and functionalities. Help maintain code quality. Onboard and mentor new team members. A minimum of three years of experience in working on large projects/Enterprise applications including, but not limited to version control tools, automated software testing, automating software build tools Strong knowledge of HTML5, CSS3, JavaScript and modern frontend development frameworks Knowledgeable about UI development concepts like Responsive Design, SPA, Modular Design Working knowledge of Java Experience with Struts 2, JSP Popular JS frameworks like Vue, React, Angular Relational databases such as MySQL, MSSQL, Oracle Rest API implementation Competitive salary Referral bonuses Flexible work schedules Professional development and career growth opportunities Awesome team members Yes"
176,Systems Support Analyst 2,WELLS FARGO BANK,"Bengaluru, Karnataka",,"Ensuring all the applications and systems are up and running fine for customers. Handling all production support escalations and EACO calls during India day hours and resolving the issue with minimum TTR. Guiding your own and partner teams during the with your EACO issue technical expertise. Doing trend analysis and taking proactive measures for frequently occurring issues. Performing planned and unplanned BCP/DR activities for the application and coordinating during the event. Setting up monitoring for application, server, batch job etc. using different monitoring tools like AppDynamics, Splunk, Sitescope, APM. Troubleshooting Application and Autosys Batch job issues. Game Plan review and Coordination of CR Implementation/Execution. Build efficient and high performing team who are able to work independently on all the support activities, and plan/manage the support coverage provided. Process streamlining for Incident management, Change management, Problem management. Motivate team members and promote a strong sense of support, ownership and urgency Facilitate communications within the team and facilitate knowledge sharing amongst the team and other personnel. Drive automation to reduce the manual efforts performed by the team. Participate with Technical Architect, DBAs and development team in defining and validate user requirements (technical), coordinating system updates, installing upgrades and patches The team is looking for an application support engineer to provide 12 X 7 support for an important application. Team member will be working alone and in direct coordination with US partners. Familiarity with Windows and APM will be a plus. Bachelor's/Master's degree in Computer Science or equivalent 3 yrs. of hands-on IT experience in Supporting Complex windows environment based enterprise applications. Good at debugging SQL Queries for fault diagnostics, analysis and resolution. Production Application Support including customer issues investigation and resolution. Should be able to work on Change Requests and be able to deploy the application in Production/non-production environments. Familiarity with UNIX and Web applications Microsoft Office suite of products – Word, Excel, Visio, PowerPoint Help drive consistency and ensure best practices are shared within Production Support group Excellent verbal and written communication skills and ability to communicate with US partners directly. Ability to build relationships, trust and credibility from the outset, with a strong focus on effective customer service. Initiate, facilitate and coordinate bridge line activities as needed during critical production support (P1) events Good problem solving and analytical skills participating in applications/systems upgrade testing and updating the relevant documentation Flexibility to work in ad-hoc shifts when required. The ability to understand team dynamics and use interpersonal skills and personal judgment to achieve goals Proven knowledge of diagnostic and support tools used in the application support environment The resource is responsible for installation/configuration of the application, and also any application upgrade or patching. Responsible for Code migration and application deployments in non-prod and Prod environment. Vulnerability assessment and remediation for all Prod/NonProd. Performance analysis and remediation of the application. Capacity planning. Preparing Game plan and Change Request creation and implementation in all Lower and Production environment. Supporting Development team on all the infra requests like code migration, file movement, and assist in code issue debugging. Ensuring the Production application is available for Business, and QA/SIT environment for testing. Enabling monitoring for all the application/batch jobs and servers. Monitoring all the alerts for application and AutoSys jobs and take necessary action to fix the issue. System Knowledge & Analysis Problem solving & critical thinking ITIL Certified (Basic V3 foundation)"
177,Graduate Technical Intern,Intel,"Bengaluru, Karnataka",,
178,Senior Software Engineer,AirAsia,"Bellandur, Bengaluru, Karnataka",,"Experience in architecting and developing applications in Java and related technologies and Proficient in ReactJS Strong hands on experience with Java 8 & above, Restful WebServices, Spring, Springboot, Docker, Kubernetes, API and Micro Services Peer review the code, design, test automation, etc., The candidate will be leading a team of developers, testers, mentoring and coaching team on technical activities. Responsible for managing high performance team of individuals to provide high quality delivery and support Thorough understanding of requirements and business knowledge Ability to communicate with client effectively and directly  Follow industry best practices while coding and unit testing. Stay updated with current technologies and coding methodologies. Working with the front end developers to build the interface with focus on usability features Should be a solution provider (provide end to end solution) Should appreciate the Agile methodology Should be competent to manage working in tight schedules Total years Of Experience: 5-8 Yrs  Relevant Experience in React: 2-3 Yrs Proven experience as a Full Stack Developer Strong knowledge of Micro services, Java Spring Boot, REST Web services. Experience in building applications using ReactJS Proficiency in any of these technology domains: Travel, Fintech, Security Possess experience in DevOps would be an added advantage Good Analytical, Communication and interpersonal skills are mandatory."
179,Senior System Software Engineer - Autonomous Vehicles,NVIDIA,"Bengaluru, Karnataka",,"Design and develop safety compliant (ISO26262) system software for NVIDIA Drive solution for autonomous vehicles Develop QNX Drivers for Hypervisor based systems on NVIDIA Tegra SOC Develop & bring-up QNX system software on next generation NVIDIA Tegra SOC Architect solutions to complex issues & defects involving interactions between components partitioned across the large software stack BS/MS in electrical engineering, computer science, or computer engineering and more than 10 years of experience with device driver design and development on embedded systems Excellent embedded C programming and debugging skills Solid understanding of computer architecture, operating system fundamentals Experience developing drivers on QNX, or other RTOS on 32/64-bit ARM SoC Hands on experience with Debugging Tools JTAG, DSTREAM A strong teammate; self-motivated with positive attitude! Experience developing drivers on QNX for ARM Architecture (ARMv8) SoCs Experience with development for real-time usecases"
180,Analyst -Thunderhead,Société Générale,"Bengaluru, Karnataka",,"Agree on the operational feasibility of the contract terms covering the Repo and Loan Operations (GMSLA, GMRA, Long Form Confirmations, etc.) to the Legal Department and the FO; Coordinates actions with APTP teams on the operational feasibility of the various clauses if necessary; Monitors quality indicators Analysis of valuation changes from one day to the next (portfolio, valuation, etc.) Ensures daily margin calls are correctly calculated in systems, escalates alerts and supports corrections as needed (scope of incorrect deals, missing prices, delays in COLT calculations, Collat One etc.) Notify daily margin calls to individual customers according to the defined rules and support, in time, customer requests to confirm daily exposures; Instructs the teams in charge of the implementation of the cash payments and the necessary securities deliveries; Supports the necessary actions for the clients management by default (management alert and FO); Manages the exchange of collateral associated with FOP deals on a daily basis according to the rules defined in the contracts; Implements counterparty supervision according to the rules defined by the risk management. Anticipation of collateral needs and exposure + shorts coverage in the dedicated pool; Optimisation of the collateral to be posted against the schedule agreed between SG and its counterparties; The management of OSTs on securities exchanged as collateral Ensures algo optimization by tracing proposal inconsistencies Supports the management of recurring disputes and those relating to sensitive customers and/or large amounts; Monitors the correct resolution of discrepancies handled by the Collateral Manager; Alert and review disputes (reporting, monitoring of indicators) and ensure compliance with regulatory constraints (process, deadline, etc.) Centralises and supports the monitoring of recurring valuation variances and is the interface with the valuation control teams; Is the preferred internal control contact for KRI monitoring and analysis Is the privileged contact of OPER line on collateral reconciliation Writes more complex procedures (Synthetic Operating Modes) and proposes continuous changes in the process and/or monitoring indicators. Do not hesitate to review the new controls to be implemented or the risk areas. Accompanies and/or trains Collateral Managers on processes and products Continue to develop its expertise and versatility in order to maintain a strong control of operational/credit risks, in a very changing context (regulatory changes, global coverage of default management), etc. ) Contribute to the development and strengthening of the international set up by working with its manager on follow the sun and resilience; Prepare for the future by contributing to projects in the Collateral business transformation programs, Focus on leadership model and commitment as well as the development of a customer culture. Contribute to the development of the business and to the improvement of the quality of the service by improving efficiency and reliability of processes (IT, Controls, implementation of a new exposure calculator tool, etc.), but also by ensuring constant customer support; Maintain discipline on our costs, seek to simplify and improve operational efficiency on a day-to-day basis, notably through increased measurement of the performance of our processes, macro development, etc. Maintain motivation and commitment, contribute to the success of projects impacting our business Contributing to the preparation for the future in a sensitive regulatory environment” 5-10 years of experience in Investment banking, OTC Derivatives Experience of working with Thunderhead Smart communication Create templates for Document Generation using Thunderhead Should be able to work with numerous business and technology teams to gather requirements, document them and convert them to functional requirements Communicate and collaborate with clients to gather business and functional requirements and deliver artifacts such as BRD, Use Cases, GUI, Screen and Interface designs Perform data analysis to validate business requirement Write SQL queries to extract data, understand patterns, relationships amongst disparate data sets and be able to harmonize them Perform logical data modeling and establishing proposed system flows Explain/demonstrate business requirements/specifications to IT team, and contribute a business or process perspective during design reviews Provide IT test plans, and ensure that the proper testing plans have been completed Traditional SDLC environment need a strong background in software development, integration and business processes Must have Investment banking Must have experience of working on Thunderhead Smart Communication Agile/Scrum experience (Not mandatory) Must be Graduate or PG in Finance Good communication skills Ablity to anticipate and prioritise Good analytical skills Notify daily margin calls to individual customers according to the defined rules and support, in time, customer requests to confirm daily exposures; Instructs the teams in charge of the implementation of the cash payments and the necessary securities deliveries; Supports the necessary actions for the clients management by default (management alert and FO); Manages the exchange of collateral associated with FOP deals on a daily basis according to the rules defined in the contracts; Implements counterparty supervision according to the rules defined by the risk management. Anticipation of collateral needs and exposure + shorts coverage in the dedicated pool; Optimisation of the collateral to be posted against the schedule agreed between SG and its counterparties; The management of OSTs on securities exchanged as collateral Ensures algo optimization by tracing proposal inconsistencies Supports the management of recurring disputes and those relating to sensitive customers and/or large amounts; Monitors the correct resolution of discrepancies handled by the Collateral Manager; Alert and review disputes (reporting, monitoring of indicators) and ensure compliance with regulatory constraints (process, deadline, etc.) Centralises and supports the monitoring of recurring valuation variances and is the interface with the valuation control teams; Is the preferred internal control contact for KRI monitoring and analysis Is the privileged contact of OPER line on collateral reconciliation Writes more complex procedures (Synthetic Operating Modes) and proposes continuous changes in the process and/or monitoring indicators. Do not hesitate to review the new controls to be implemented or the risk areas. Accompanies and/or trains Collateral Managers on processes and products"
181,Senior Architect GPU Performance,NVIDIA,"Bengaluru, Karnataka",,"Performance analysis/ bottleneck analysis of complex, high performance GPUs and System-on-Chips (SoCs). Work on hardware models of different levels of extraction, including performance models, RTL test benches and emulators to find performance bottlenecks in the system. Work closely with the architecture and design teams to explore architecture trade-offs related to system performance, area, and power consumption. Understand key performance usecases or the product. Develop workloads and test suites targeting graphics, machine learning, automotive, video, compute vision applications running on these products. Drive methodologies for improving turnaround time, finding representative data-sets and enabling performance analysis early in the product development cycle. Develop required infrastructure including performance simulators, testbench components and analysis tools BE/BTech or MS/MTech in relevant area, PhD is a plus. 3+ years of relevant experience dealing with system level architecture and performance issues. Strong understanding of System-on-Chip (SoC) architecture, graphics pipeline, memory subsystem architecture and Network-on-Chip (NoC)/Interconnect architecture. Strong programming (C/C++) and scripting (Perl/Python) skills. Exposure to Verilog/System Verilog, SystemC/TLM is a strong plus. Strong debugging and analysis (including data and statistical analysis) skills, including use for rtl dumps to debug failures. Exposure to performance simulators, cycle accurate/approximate models or emulators for pre-silicon performance analysis is a plus. Excellent communication and organization skills Ability to work in a global team environment Strong background in System Level Performance aspects for Graphics and High Performance Computing Exposure to GPU application programming interfaces like CUDA, OpenGL, DirectX . Expertise in data analysis and visualization"
182,Software Engineer - CDM Infra,Rubrik Job Board,"Bengaluru, Karnataka",,"World class telemetry infrastructure handling billions of time-series data points & log messages. This data powers proactive alerting - we detect a large fraction of issues before our customers notice them. Massive data pipelines that process batch uploads from Rubrik deployments around the globe. This data is used for providing value added services like capacity planning. Designing and developing cutting-edge solutions for processing incoming metrics, logs & traces at massive scale Developing solutions to analyze telemetry data at scale - this includes detection of anomalies using machine learning Working closely with Support organization to develop tools that help Rubrik provide world-class support experience to customers Nurturing team culture which sets high standards and achieves them through collaboration Bachelor's or Master's degree or equivalent in computer science or related field 5+ years of relevant work experience, or 2 years of relevant work experience with a PhD in Computer Science or a related technical field Experience architecting and developing large scale distributed systems Proficiency in one or more general purpose programming languages like Java, C/C++, Scala, Python Familiarity with one or more of the following areas: data mining, machine learning, recommendation systems or, artificial intelligence Experience with Google Cloud Platform/AWS/Azure or other public cloud technologies is a plus"
183,Consultant - Data Science,Antuit,"Bengaluru, Karnataka",,"Understand the client’s business including nuances of the products, sales channels, business cycles and levers like promotions, advertising etc. Ensure completeness, accuracy and quality of data received Identify anomalies in the business using the data and work with the client to resolve the anomalies Configure the AI product model to generate the necessary model outputs Evaluate the accuracy of the model outputs and analyze the output to identify issues in the model Create and present reports showing model performance, and have an engaging conversation with business stakeholders Analyze and resolve any ongoing issues with model performance 4+ years of experience working with retail or CPG clients Good understanding of CPG or retail supply chain process. Understanding of Retail/CPG data model is a plus. 4+ years of hands on experience in python and SQL to do exploratory analysis and identify anomalies Good understanding of regression and/or time series models Expertise in evaluating model output and identifying model improvement opportunities. Excellent problem-solving skills Natural ability to think analytically The ability to plan work and meet deadlines Accuracy and attention to detail Flawless oral and written communication skills Massive appetite to learn and curiosity to understand the business problem and solutions Good team player with humility and patience to work with high caliber talent Understand and adhere to Information Security policies, guidelines and procedure, practice them for protection of organizational data and Information System. Take part in Information Security training and act accordingly while handling information. Report all suspected security and policy breach to Infosec team or appropriate authority (CISO)."
184,Associate Data Scientist - MFG,Noodle.ai,"Bengaluru, Karnataka",,"1+ years of experience in applied artificial intelligence technologies including machine learning, predictive data analytics, and/or data science BE/B.Tech or Advanced degree in a relevant field (Computer Science, Operations Research, Statistics, Mathematics, Electrical Engineering, or other Computational Science) Proficient in python Experience with spark Knowledge of data science/machine learning concepts Demonstrated ability to iteratively conceptualize, design and build data-driven analytical models Strong capabilities in modern analytics languages/tools Collaborative, open, and respectful working style Passion for learning and a desire to grow – Noodlers are life-long learners! Experience applying advanced AI techniques (g., machine learning, predictive analytics. optimization, semantic analysis, time-series analysis, advanced visualization) to real-world problems Experience with R Experience manipulating and preparing large, heterogeneous data sets (""Big Data"") to support advanced analytics Demonstrated energy and passion that extends beyond your field of study – Are you a computer scientist who writes poetry? A mathematician who loves psychology? An engineer passionate about public policy? We want to build something with Experience with (and excitement for) interdisciplinary collaboration"
185,Director Of Engineering – Data Analytics – AdTech,CareerXperts,"Bengaluru, Karnataka",,Experience in leading teams that build products/platforms in the Data Analytics domain. Experience in attracting and hiring high-quality talent. Experience in defining product / platform architectures.
186,Senior 5G Standards Architect,Intel,"Bengaluru, Karnataka",,
187,Senior Software Engineer,Nuance,"Bengaluru, Karnataka",,"Write and interpret functional and design specifications Implement product features using latest Microsoft .NET frameworks and tools Design medium complexity code modules without supervision Debug and troubleshoot production issues. Present and defend architectural, design, and technical choices. Mentor peers on enterprise application development techniques and tools. Perform peer design and code reviews. Keep current with technology development within the industry and bring fresh ideas to the group, including adoption of new technologies. Education: BE or equaling Minimum years of work experience: 5+ Strong development skills in C# and the .net framework libraries Knowledge of advanced .Net framework features such as generics, LINQ, and lambda expressions Expert knowledge of object oriented principles Proficient in WPF and multi-threaded application development. Proficient with XML Strong understanding of design patterns and object oriented programming. Ability to multi-task in a fast-paced environment with minimal direction. Ability to mentor development team members including more junior developers. Ability to accurately estimate amount of time to complete tasks Strong verbal and written communications skills Experience designing using UML Experience writing unit tests – MSTest, NUnit, or equivale Experience with medical software systems Experience with server-side programming including Web API, RESTful APIs Experienced with Word or Excel object models Familiar with .Net interop or Windows API programming Azure management and development"
188,Software Engineer,Anuta Networks,"Bengaluru, Karnataka",,"Design & Develop software to improve the availability, resilience, scalability, latency, and efficiency of Anuta ATOM Software. Design, Develop, Enhance ATOM’s Manageability, Troubleshooting, Serviceability Lead software engineering teams in a agile and test driven development environment (TDD) Champion Software Quality, Documentation, User Experience Design & Develop tools to improve developer & customer productivity Participate & Lead in Design Reviews, Code Review, Static Analysis Integrate concepts & technologies like Analytics, Big Data, Artificial Intelligence & Machine Learning B.Tech or M.Tech Degree in Computer Science or Other Engineering disciplines 2+ Years in Enterprise Java, Java internals (JVM performance tuning, GC, etc.) & Python 2+ Years of experience in designing, developing, analyzing and troubleshooting large-scale distributed systems in E-Commerce or Telecommunication industries. Strong experience in model driven development and familiarity with IETF YANG, NACM, TOSCA, NETCONF, OpenConfig In-depth knowledge of operating systems (processes, threads, concurrency issues, locks, mutexes, semaphores, monitors and how they work). Strong experience with CI/CD – Jenkins, Hudson, Gradle, etc., Strong expertise in building Microservices test infrastructure to address Functional, Scale, Performance, Availability & Resiliency behavior of Microservices Strong expertise in MicroServices, Docker, Kubernetes, Big Data based Software architectures Strong expertise of messaging middleware like – Kafka, RabbitMQ Strong expertise of KPI Reporting, Troubleshooting & Log management – ELK, KPI Reporting, TSDB, Grafana Strong expertise of Database technologies – NoSQL, Distributed Databases, Caching, Redis, GraphDB like Neo4J etc., Systematic problem solving approach, coupled with a strong sense of ownership and drive."
189,"Tech Writer, Sr I",Synopsys,"Bengaluru, Karnataka",,
190,Software Engineer II,FICO,"Bengaluru, Karnataka",,"Build, deploy, and support modules of large, world-class enterprise-level solutions. Use diagrams and tools to write programs, investigate and fix bugs, and install solutions. Continually learn new technologies in related areas. Bachelor’s/Master’s in Computer Science or related disciplines, or relevant software development experience. Proficient in development and deployment of software solutions product within software Development Lifecycle (SDLC) process. Strong knowledge of database concepts and programming. Experience in maintaining and upgrading of product source codes. Experience writing product specifications and documenting product features and presenting them to an audience. Ability to work well as part of a geographically diverse team. A culture and work environment strongly reflecting our core values: Act Like an Owner, Delight Our Customers and Earn the Respect of Others. The opportunity to make a difference by leveraging your unique strengths. Highly competitive compensation and rewards. Flexible work options, opportunities to give back to your community, social events with colleagues and a comprehensive benefits program inclusive of progressive parental leave. Credit Scoring — 150+ billion FICO Scores have been sold to date, making it the most used credit score in the world. Fraud Detection and Security — 2.6+ billion payment cards globally are protected by FICO fraud systems. Lending — 3/4 of US mortgages are approved using the FICO Score. Anti-Money Laundering — our solutions check more than half a billion transactions a day to prevent criminal schemes such as terrorist financing"
191,Business Analyst,Société Générale,"Bengaluru, Karnataka",,"IC Role: Deliver projects within budget, with high quality, with agreed timeline and high client satisfaction. Take ownership of incidents and their solutions. Good and active oral and written comm. skills. Ability to coordinate with cross-geography teams with positive approach, and aggressive follow-ups. Agile in approach, and some understanding of development terms, and ability to work seamlessly with developers. Ability to quickly learn new functional concepts. Be agile towards tasks and roles expected of her / him. 6 – 8 Years of experience as Business Analyst Looking for a Business Analyst who is presentable and be able to work with Paris counterparts, Market Data Risk business reps to discuss, document, and groom functional requirements. That person should have understanding of Investment Baking domain in general, and of Market Data Risk to be specific. Will work directly with developers and quality assurance team for day-to-day work, on tools like Jira and MS Visio."
192,"Applications Engineer, Sr I",Synopsys,"Bengaluru, Karnataka",,
193,Software Development Engineer,BankerBay,"Bengaluru, Karnataka",,"B.Tech/B.E/M.Tech/MS or PhD in Computer Science or related technical discipline from well rated institutes from India and abroad. You will be working on interesting technical challenges in a fast moving environment. The role requires solid programming experience and solid knowledge on Algorithms & Data structures Hands-on experience in building APIs at scale. Ability to design and code right solutions starting with broadly defined problems, Development of code in Java/Python/C# and build large scale robust distributed systems Chance to build from scratch, be part of AI/ Machine learning initiative from beginning Background in Artificial Intelligence is a plus. (Pattern Recognition/Natural Language Processing/Machine Learning) Background in text understanding, Making sense of unstructured data Experience in NLP libraries (Apache OpenNLP / Stanford NLP/ NLTK etc.) Building REST APIs - Mandatory Extracting and analyzing data from different file formats Advanced statistics, modelling, and data visualization knowledge would help Ability of understanding business problems and addressing them by leveraging data, high dimensionality from multiple sources Experience with one or more general purpose programming languages including but not limited to: Java, Python 2-7 years of relevant experience with Algorithms, Data Structures, & Optimizations in addition to Coding. B.E/B-Tech/M-Tech/M.S Computer Science or Equivalent from premier institutes only Experience with hands on coding and independent ownership of software components Experience of having worked with Artificial Intelligence libraries is a plus Experience of having worked in a start-up is a must Experience of having worked with Blockchain is a plus. Problem solving, self-driven and self-motivated, finding ways through Strong grasp of CS fundamentals, Algorithm and excellent problem solving abilities Experience from good product development or Ecommerce background is an added point Experience with Java, Python etc. (Language won’t be constraint though) Good Aptitude/Analytical skills (emphasis will be on Algorithms, Data Structures and Optimizations in addition to Coding)"
194,Software Engineer (React),iManage,"Bengaluru, Karnataka",,"Taking ownership and seeing a project through the full SDLC and production maintenance Architecting, developing, implementing, and delivering quality software into an externally facing client product Collaborating with the engineering manager, product owners, and technical specialists to help deliver our roadmap Having the ability to shift gears, prioritize & work effectively in an agile environment Adhering to good development practices with an engineering mindset A Bachelor's or Master’s degree in Computer Science or related field 2-3+ years of extensive experience with front-end development Worked with large complicated software systems and architecture Optimised applications for maximum speed Consumed and contributed to the design of RESTful interfaces Experience building and designing scalable and performant systems and making significant contributions to the wider engineering goals of the product Exposure in an agile environment An interest in learning new concepts and technologies Familiarity with one other high-level modern programming languages like Scala or Python"
195,"R&D Engineer, Sr II",Synopsys,"Bengaluru, Karnataka",,
196,Baan Technical Consultant,Radial HR Solutions,"Bengaluru, Karnataka","₹5,00,000 - ₹8,00,000 a year",
197,Deep Learning R&D Engineer (Compilers),Intel,"Bengaluru, Karnataka",,
198,"Java8, Kafka Streams, Machine Learning, AI Developer",Augusta Infotech,"Bengaluru, Karnataka",,
199,Product Engineer,Zycus,"Bengaluru, Karnataka",,
